,NoOfProduct,BillingDays,InvoiceType,CurrentBillWithoutTax,TotalTax,CurrentBillWithTax,Adjustment,LastMonthPendingAmount,TotalAmountToPay,LastMonthBill,Anomaly,TypeOfAnomaly
108,48,18,f,1733.0399999999997,779.8679999999999,2512.9079999999994,0.0,0.0,2512.9079999999994,4192,0,
109,3,30,r,168.64999999999998,75.89249999999998,244.54249999999996,0.0,0.0,244.54249999999996,236,0,
110,30,30,r,1785.5,803.475,2588.975,0.0,0.0,2588.975,2580,0,
111,9,30,r,534.9499999999999,240.72749999999996,775.6774999999999,0.0,0.0,775.6774999999999,782,0,
112,26,30,r,1548.3,696.735,2245.035,405.0,126.0,1966.0349999999999,2236,0,
113,26,6,f,1551.3,698.085,2249.385,0.0,0.0,2249.385,2261,1,InvoiceType Anomaly
114,8,30,r,461.4,207.63,669.03,0.0,24.0,693.03,687,0,
115,2,13,f,44.67666666666666,20.104499999999998,64.78116666666666,0.0,21.0,85.78116666666666,144,0,
116,33,30,r,1997.1499999999999,898.7175,2895.8675,0.0,0.0,2895.8675,2905,0,
117,47,30,r,2834.85,141.7425,2976.5924999999997,0.0,0.0,2976.5924999999997,4111,1,Tax Anomaly
118,33,30,r,1968.1499999999999,885.6675,2853.8175,0.0,0.0,2853.8175,2856,0,
119,33,30,r,1973.1499999999999,887.9175,2861.0675,0.0,0.0,2861.0675,2870,0,
120,30,30,r,1797.5,808.875,2606.375,0.0,0.0,2606.375,2610,0,
121,18,30,r,1068.8999999999999,481.00499999999994,1549.9049999999997,0.0,0.0,1549.9049999999997,1565,0,
122,41,30,r,2464.5499999999997,1109.0475,3573.5975,0.0,46.0,3619.5975,3574,0,
123,48,30,r,2876.3999999999996,1294.3799999999999,4170.78,0.0,0.0,4170.78,4173,0,
124,47,30,r,2827.85,1272.5325,4100.3825,0.0,1704.0,5804.3825,4118,0,
125,24,30,r,1422.1999999999998,639.9899999999999,2062.1899999999996,0.0,0.0,2062.1899999999996,2054,0,
126,37,11,f,815.2283333333332,366.85274999999996,1182.0810833333333,0.0,0.0,1182.0810833333333,3233,0,
127,17,30,r,995.3499999999999,447.9074999999999,1443.2574999999997,0.0,0.0,1443.2574999999997,1435,0,
128,44,30,r,2635.2,1185.84,3821.04,0.0,1828.0,5649.04,3827,0,
129,7,30,r,399.84999999999997,179.9325,579.7825,0.0,35.0,614.7825,565,0,
130,21,6,f,249.31,112.18950000000001,361.4995,447.0,0.0,-85.50049999999999,1821,0,
131,20,30,r,1179.0,530.55,1709.55,0.0,0.0,1709.55,1720,0,
132,6,30,r,356.29999999999995,160.33499999999998,516.635,0.0,0.0,516.635,517,0,
133,23,30,r,1376.6499999999999,619.4925,1996.1425,0.0,0.0,1996.1425,2003,0,
134,10,5,f,95.41666666666666,42.9375,138.35416666666666,402.0,0.0,-263.64583333333337,844,0,
135,37,10,f,744.7833333333333,335.1525,1079.9358333333332,0.0,0.0,1079.9358333333332,3250,0,
136,34,30,r,2033.6999999999998,915.1649999999998,2948.865,415.0,477.0,3010.865,2936,0,
137,45,30,r,2697.75,1213.9875,3911.7375,1621.0,0.0,2290.7375,3912,0,
138,17,30,r,1011.3499999999999,50.5675,1061.9175,0.0,0.0,1061.9175,1475,1,Tax Anomaly
139,34,30,r,2025.6999999999998,911.5649999999998,2937.2649999999994,0.0,393.0,3330.2649999999994,2941,0,
140,21,30,r,1266.55,569.9475,1836.4975,0.0,0.0,1836.4975,1834,0,
141,9,6,f,107.19,48.2355,155.4255,0.0,0.0,155.4255,763,0,
142,31,30,r,1858.05,836.1225,2694.1724999999997,0.0,0.0,2694.1724999999997,2696,0,
143,32,15,f,965.3,434.385,1399.685,0.0,0.0,1399.685,2796,0,
144,34,18,f,1227.4199999999998,552.3389999999999,1779.7589999999998,0.0,0.0,1779.7589999999998,2974,0,
145,7,30,r,402.84999999999997,181.2825,584.1324999999999,0.0,84.0,668.1324999999999,585,0,
146,8,30,r,474.4,213.48,687.88,0.0,6.0,693.88,683,0,
147,45,18,f,1619.25,728.6625,2347.9125,1357.0,0.0,990.9124999999999,3917,0,
148,19,18,f,672.27,302.5215,974.7915,0.0,0.0,974.7915,1620,0,
149,45,30,r,2715.75,1222.0875,3937.8375,650.0,0.0,3287.8375,3930,0,
150,3,30,r,175.64999999999998,79.04249999999999,254.69249999999997,0.0,0.0,254.69249999999997,257,0,
151,19,16,f,596.5066666666667,268.428,864.9346666666667,0.0,0.0,864.9346666666667,1619,0,
152,10,18,f,351.3,158.085,509.385,0.0,0.0,509.385,839,0,
153,9,30,r,518.9499999999999,233.52749999999997,752.4775,0.0,0.0,752.4775,750,0,
154,17,30,r,1010.3499999999999,454.6574999999999,1465.0074999999997,0.0,0.0,1465.0074999999997,1482,0,
155,29,30,r,1747.9499999999998,786.5774999999999,2534.5274999999997,0.0,0.0,2534.5274999999997,2533,0,
156,50,30,r,3026.5,1361.925,4388.425,0.0,0.0,4388.425,4374,0,
157,40,30,r,2417.0,120.85,2537.85,0.0,0.0,2537.85,3505,1,Tax Anomaly
158,16,30,r,942.8,424.26,1367.06,164.0,0.0,1203.06,1362,0,
159,40,13,f,1045.2,470.34,1515.54,0.0,0.0,1515.54,3494,0,
160,9,5,f,87.49166666666665,39.37124999999999,126.86291666666664,0.0,0.0,126.86291666666664,767,0,
161,1,30,r,57.55,25.8975,83.44749999999999,0.0,0.0,83.44749999999999,94,0,
162,35,11,f,771.1916666666666,347.03625,1118.2279166666667,0.0,0.0,1118.2279166666667,3032,0,
163,50,30,r,3007.5,1353.375,4360.875,0.0,0.0,4360.875,4379,0,
164,22,5,f,217.34999999999997,97.80749999999998,315.1574999999999,0.0,0.0,315.1574999999999,1895,0,
165,10,30,r,1706.5,767.925,2474.425,0.0,0.0,2474.425,2463,1,Product Anomaly
166,29,13,f,747.045,336.17025,1083.21525,0.0,0.0,1083.21525,2498,0,
167,5,30,r,292.75,131.7375,424.4875,0.0,0.0,424.4875,415,0,
168,5,19,f,171.475,77.16375,248.63875,187.0,61.0,122.63874999999996,395,0,
169,12,30,r,716.5999999999999,322.46999999999997,1039.07,0.0,0.0,1039.07,1039,0,
170,1,30,r,1460.55,657.2475,2117.7974999999997,0.0,1038.0,3155.7974999999997,2119,1,Product Anomaly
171,45,14,f,1265.0166666666667,569.2575,1834.2741666666666,0.0,0.0,1834.2741666666666,3929,0,
172,11,16,f,340.82666666666665,153.37199999999999,494.19866666666667,0.0,0.0,494.19866666666667,926,0,
173,46,20,f,1851.533333333333,833.1899999999998,2684.723333333333,1038.0,0.0,1646.723333333333,4042,0,
174,37,17,f,1250.2649999999999,562.61925,1812.8842499999998,0.0,0.0,1812.8842499999998,3190,0,
175,47,17,f,1594.5149999999999,717.5317499999999,2312.0467499999995,1667.0,1744.0,2389.0467499999995,4081,0,
176,9,30,r,518.9499999999999,233.52749999999997,752.4775,0.0,0.0,752.4775,755,0,
177,35,30,r,2111.25,950.0625,3061.3125,122.0,0.0,3183.3125,3054,1,Adjustment Anomaly
178,4,30,r,213.2,95.94,309.14,0.0,0.0,309.14,317,0,
179,35,15,f,1053.625,474.13125,1527.75625,0.0,0.0,1527.75625,3051,0,
180,37,30,r,2219.35,998.7075,3218.0575,0.0,0.0,3218.0575,3220,0,
181,28,19,f,1058.5533333333333,476.34899999999993,1534.9023333333332,909.0,0.0,625.9023333333332,2430,0,
182,37,8,f,594.76,267.642,862.402,0.0,912.0,1774.402,3239,0,
183,50,30,r,3015.5,1356.975,4372.475,2051.0,1764.0,4085.4750000000004,4372,0,
184,4,12,f,89.68,40.356,130.036,89.0,0.0,41.036,315,0,
185,38,30,r,2278.9,1025.505,3304.405,0.0,0.0,3304.405,3292,0,
186,11,11,f,233.58499999999998,105.11325,338.69825,0.0,0.0,338.69825,905,0,
187,34,13,f,879.9699999999999,395.9864999999999,1275.9564999999998,0.0,0.0,1275.9564999999998,2949,0,
188,5,13,f,117.75833333333334,52.99125,170.74958333333333,102.0,0.0,68.74958333333333,384,0,
189,1,11,f,21.46833333333333,9.660749999999998,31.129083333333327,0.0,0.0,31.129083333333327,88,0,
190,12,18,f,417.9599999999999,188.08199999999997,606.0419999999999,0.0,247.0,853.0419999999999,1015,0,
191,50,12,f,1200.2,540.09,1740.29,0.0,0.0,1740.29,4354,0,
192,33,30,r,1984.1499999999999,892.8675,2877.0175,0.0,0.0,2877.0175,2883,0,
193,2,18,f,71.46,32.157,103.61699999999999,42.0,71.0,132.617,187,0,
194,16,30,r,952.8,428.76,1381.56,648.0,0.0,733.56,1375,0,
195,8,11,f,176.87999999999997,79.59599999999999,256.47599999999994,0.0,0.0,256.47599999999994,702,0,
196,45,19,f,1719.3416666666667,773.70375,2493.045416666667,0.0,0.0,2493.045416666667,3936,0,
197,39,14,f,1098.7433333333333,494.43449999999996,1593.1778333333332,0.0,0.0,1593.1778333333332,3417,0,
198,11,30,r,639.05,287.5725,926.6225,0.0,0.0,926.6225,925,0,
199,20,30,r,1181.0,59.05,1240.05,0.0,0.0,1240.05,1700,1,Tax Anomaly
200,16,18,f,569.88,256.44599999999997,826.326,0.0,0.0,826.326,1369,0,
201,39,16,f,1257.84,566.0279999999999,1823.868,0.0,0.0,1823.868,3421,0,
202,23,30,r,1364.6499999999999,614.0925,1978.7424999999998,401.0,0.0,1577.7424999999998,1984,0,
203,11,30,r,637.05,286.67249999999996,923.7224999999999,0.0,0.0,923.7224999999999,930,0,
204,12,30,r,700.5999999999999,315.27,1015.8699999999999,0.0,0.0,1015.8699999999999,1023,0,
205,4,30,r,207.2,93.24,300.44,0.0,0.0,300.44,293,0,
206,19,30,r,1121.45,504.6525,1626.1025,0.0,0.0,1626.1025,1623,0,
207,37,30,r,2208.35,993.7575,3202.1075,0.0,1114.0,4316.1075,3195,0,
208,20,30,r,1197.0,538.65,1735.65,0.0,0.0,1735.65,1746,0,
209,47,30,r,2828.85,1272.9825,4101.8325,549.0,0.0,3552.8325000000004,4120,0,
210,30,30,r,1814.5,90.725,1905.225,0.0,0.0,1905.225,2629,1,Tax Anomaly
211,44,11,f,970.6399999999999,436.78799999999995,1407.4279999999999,0.0,0.0,1407.4279999999999,3842,0,
212,20,30,r,1204.0,60.2,1264.2,451.0,536.0,1349.2,1757,1,Tax Anomaly
213,40,11,f,881.8333333333333,396.825,1278.6583333333333,0.0,0.0,1278.6583333333333,3492,0,
214,5,13,f,117.75833333333334,52.99125,170.74958333333333,0.0,0.0,170.74958333333333,395,0,
215,7,9,f,126.55499999999998,56.949749999999995,183.50474999999997,0.0,0.0,183.50474999999997,621,0,
216,26,7,f,363.13666666666666,163.4115,526.5481666666667,0.0,0.0,526.5481666666667,2260,0,
217,41,30,r,2460.5499999999997,1107.2475,3567.7974999999997,0.0,294.0,3861.7974999999997,3562,0,
218,24,30,r,1435.1999999999998,645.8399999999999,2081.04,0.0,0.0,2081.04,2095,0,
219,18,30,r,1054.8999999999999,474.7049999999999,1529.6049999999998,0.0,0.0,1529.6049999999998,1535,0,
220,36,30,r,2161.7999999999997,972.8099999999998,3134.6099999999997,0.0,0.0,3134.6099999999997,3123,0,
221,25,30,r,1508.75,678.9375,2187.6875,705.0,0.0,1482.6875,2187,0,
222,43,18,f,1554.39,699.4755,2253.8655,0.0,0.0,2253.8655,3755,0,
223,18,15,f,541.4499999999999,243.65249999999997,785.1025,0.0,0.0,785.1025,1579,0,
224,21,30,r,1254.55,564.5475,1819.0974999999999,0.0,0.0,1819.0974999999999,1820,0,
225,29,30,r,1749.9499999999998,787.4774999999998,2537.4275,0.0,0.0,2537.4275,2535,0,
226,31,30,r,1874.05,843.3225,2717.3725,0.0,146.0,2863.3725,2717,0,
227,17,30,r,1000.3499999999999,450.1574999999999,1450.5074999999997,0.0,0.0,1450.5074999999997,1452,0,
228,1,30,r,31.549999999999997,14.197499999999998,45.747499999999995,0.0,0.0,45.747499999999995,50,0,
229,39,16,f,1257.3066666666666,565.788,1823.0946666666666,0.0,0.0,1823.0946666666666,3402,0,
230,15,14,f,415.45,186.9525,602.4024999999999,0.0,0.0,602.4024999999999,1295,0,
231,35,30,r,2086.25,938.8125,3025.0625,0.0,0.0,3025.0625,3026,0,
232,13,30,r,757.15,340.7175,1097.8674999999998,0.0,0.0,1097.8674999999998,1096,0,
233,5,18,f,169.04999999999998,76.07249999999999,245.12249999999997,0.0,0.0,245.12249999999997,416,0,
234,4,30,r,222.2,99.99,322.19,109.0,0.0,213.19,332,0,
235,4,30,r,220.2,99.09,319.28999999999996,0.0,77.0,396.28999999999996,323,0,
236,42,30,r,3675.1,1653.795,5328.895,0.0,0.0,5328.895,5324,1,Product Anomaly
237,21,8,f,1265.55,569.4975,1835.0475,0.0,0.0,1835.0475,1836,1,InvoiceType Anomaly
238,5,9,f,84.225,37.90125,122.12625,0.0,0.0,122.12625,405,0,
239,28,30,r,1670.3999999999999,751.68,2422.08,0.0,46.0,2468.08,2422,0,
240,33,14,f,920.3366666666666,414.15149999999994,1334.4881666666665,0.0,0.0,1334.4881666666665,2866,0,
241,49,30,r,2932.95,1319.8275,4252.7775,219.0,0.0,4471.7775,4267,1,Adjustment Anomaly
242,34,30,r,2043.6999999999998,919.6649999999998,2963.365,0.0,0.0,2963.365,2951,0,
243,12,30,r,701.5999999999999,315.71999999999997,1017.3199999999999,0.0,218.0,1235.32,1009,0,
244,8,8,f,125.44,56.448,181.888,0.0,0.0,181.888,689,0,
245,41,9,f,739.3649999999999,332.71424999999994,1072.0792499999998,0.0,0.0,1072.0792499999998,3579,0,
246,32,17,f,1083.24,487.458,1570.698,0.0,0.0,1570.698,2768,0,
247,33,12,f,793.26,356.967,1150.2269999999999,0.0,0.0,1150.2269999999999,2880,0,
248,18,9,f,318.2699999999999,143.22149999999996,461.49149999999986,0.0,0.0,461.49149999999986,1542,0,
249,22,17,f,737.8566666666666,332.03549999999996,1069.8921666666665,0.0,34.0,1103.8921666666665,1879,0,
250,34,30,r,2040.6999999999998,918.3149999999998,2959.0149999999994,0.0,0.0,2959.0149999999994,2959,0,
251,37,14,f,1033.3633333333332,465.01349999999996,1498.3768333333333,0.0,472.0,1970.3768333333333,3224,0,
252,26,30,r,1549.3,697.185,2246.4849999999997,514.0,473.0,1259.4849999999997,2248,1,LastMonth Pending Anomaly
253,25,9,f,446.025,200.71125,646.7362499999999,0.0,0.0,646.7362499999999,2157,0,
254,16,30,r,952.8,47.64,1000.4399999999999,0.0,0.0,1000.4399999999999,1398,1,Tax Anomaly
255,22,10,f,436.3666666666666,196.36499999999995,632.7316666666666,0.0,0.0,632.7316666666666,1917,0,
256,7,9,f,122.95499999999998,55.32975,178.28474999999997,0.0,9.0,187.28474999999997,609,0,
257,19,10,f,372.15,167.4675,539.6175,0.0,0.0,539.6175,1623,0,
258,19,30,r,1130.45,508.7025,1639.1525000000001,0.0,0.0,1639.1525000000001,1645,0,
259,19,30,r,1131.45,509.1525,1640.6025,0.0,592.0,1048.6025,1647,1,LastMonth Pending Anomaly
260,29,30,r,1746.9499999999998,786.1274999999998,2533.0774999999994,0.0,0.0,2533.0774999999994,2520,0,
261,14,30,r,1890.6999999999998,850.8149999999998,2741.5149999999994,0.0,243.0,2984.5149999999994,2732,1,Product Anomaly
262,37,8,f,595.2933333333333,267.88199999999995,863.1753333333332,720.0,0.0,143.17533333333324,3232,0,
263,15,10,f,291.41666666666663,131.1375,422.5541666666666,0.0,0.0,422.5541666666666,1270,0,
264,22,15,f,661.55,297.6975,959.2475,0.0,0.0,959.2475,1907,0,
265,31,11,f,686.785,309.05325,995.83825,0.0,0.0,995.83825,2711,0,
266,10,11,f,221.28333333333333,99.5775,320.86083333333335,0.0,0.0,320.86083333333335,866,0,
267,46,16,f,1479.6266666666666,665.832,2145.4586666666664,0.0,0.0,2145.4586666666664,4010,0,
268,17,30,r,1003.3499999999999,451.50749999999994,1454.8574999999998,0.0,0.0,1454.8574999999998,1444,0,
269,4,30,r,229.2,103.14,332.34,107.0,0.0,225.33999999999997,320,0,
270,4,30,r,239.2,107.64,346.84,154.0,0.0,192.83999999999997,345,0,
271,25,30,r,1495.75,673.0875,2168.8375,0.0,0.0,2168.8375,2161,0,
272,13,30,r,762.15,342.9675,1105.1174999999998,0.0,0.0,1105.1174999999998,1106,0,
273,44,13,f,1151.8866666666665,518.3489999999999,1670.2356666666665,0.0,0.0,1670.2356666666665,3855,0,
274,4,30,r,211.2,95.04,306.24,0.0,0.0,306.24,323,0,
275,20,30,r,1196.0,538.2,1734.2,0.0,0.0,1734.2,1734,0,
276,13,30,r,773.15,347.9175,1121.0675,0.0,155.0,1276.0675,1114,0,
277,32,9,f,577.0799999999999,259.686,836.7659999999998,0.0,0.0,836.7659999999998,2796,0,
278,38,30,r,2266.9,1020.105,3287.005,0.0,0.0,3287.005,3290,0,
279,43,13,f,1119.1483333333333,503.61674999999997,1622.7650833333332,0.0,0.0,1622.7650833333332,3743,0,
280,14,10,f,278.2333333333333,125.20499999999998,403.4383333333333,0.0,0.0,403.4383333333333,1214,0,
281,6,30,r,328.29999999999995,147.73499999999999,476.03499999999997,0.0,0.0,476.03499999999997,481,0,
282,3,14,f,79.16999999999999,35.62649999999999,114.79649999999998,47.0,0.0,67.79649999999998,236,0,
